title,difficulty,topic,statement,constraints,input_format,output_format,starter_python,starter_javascript
Index Pair With Target Sum,EASY,Arrays,"Given an array of integers and a target value, return the indices of the first pair of elements (in scan order) whose values add up to the target. If no such pair exists, return [-1, -1].","1 <= n <= 1000, values fit in 32-bit signed range.","A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Largest Contiguous Sum,MEDIUM,Arrays,"Given an array of integers, find the largest possible sum of any contiguous (non-empty) subarray.",1 <= n <= 2000.,"A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Rotate Array Right By K,EASY,Arrays,"Given an array and a non-negative integer k, rotate the array to the right by k steps and return the resulting array.","0 <= n <= 20, 0 <= k <= 100.","A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Product Of All Other Elements,MEDIUM,Arrays,"Given an array of integers, return a new array where each element is the product of all elements except itself. Division is not allowed.","1 <= n <= 15, avoid overflow-sensitive assumptions.","A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Kth Largest Element,MEDIUM,Arrays,"Given an array of integers and an integer k, return the kth largest element in the array (1-indexed from the largest).",1 <= k <= n <= 20.,"A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
First Non-Repeating Character,EASY,Strings,"Given a lowercase string, return the index of its first non-repeating character, or -1 if every character repeats.","1 <= |s| <= 200, lowercase letters only.","A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Anagram Check,EASY,Strings,"Given two lowercase strings, determine whether the second is an anagram of the first.",1 <= |s| <= 200.,"A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Longest Common Prefix,EASY,Strings,"Given a list of lowercase words, return the longest string that is a prefix of every word in the list. Return an empty string if none.",1 <= words.length <= 10.,"A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Reverse Word Order,EASY,Strings,"Given a sentence with words separated by single spaces, return a new sentence with the words in reverse order.",1 <= |s| <= 300.,"A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Group Anagrams Together,MEDIUM,Strings,"Given a list of lowercase words, group the words that are anagrams of each other. Return the groups sorted for determinism.",1 <= words.length <= 12.,"A single line containing a JSON-encoded value: the function argument if there is only one, otherwise a JSON array of the arguments in order.",A single line containing the JSON-encoded expected result.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
