title,difficulty,topic,statement,input_format,output_format,starter_python,starter_javascript
Practice Problem 1,EASY,Arrays,Solve Practice Problem 1 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 2,MEDIUM,Strings,Solve Practice Problem 2 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 3,HARD,Linked List,Solve Practice Problem 3 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 4,EASY,Stack,Solve Practice Problem 4 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 5,MEDIUM,Queue,Solve Practice Problem 5 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 6,HARD,Trees,Solve Practice Problem 6 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 7,EASY,Graphs,Solve Practice Problem 7 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 8,MEDIUM,Dynamic Programming,Solve Practice Problem 8 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 9,HARD,Greedy,Solve Practice Problem 9 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 10,EASY,Math,Solve Practice Problem 10 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 11,MEDIUM,Arrays,Solve Practice Problem 11 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 12,HARD,Strings,Solve Practice Problem 12 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 13,EASY,Linked List,Solve Practice Problem 13 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 14,MEDIUM,Stack,Solve Practice Problem 14 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 15,HARD,Queue,Solve Practice Problem 15 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 16,EASY,Trees,Solve Practice Problem 16 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 17,MEDIUM,Graphs,Solve Practice Problem 17 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 18,HARD,Dynamic Programming,Solve Practice Problem 18 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 19,EASY,Greedy,Solve Practice Problem 19 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 20,MEDIUM,Math,Solve Practice Problem 20 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 21,HARD,Arrays,Solve Practice Problem 21 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 22,EASY,Strings,Solve Practice Problem 22 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 23,MEDIUM,Linked List,Solve Practice Problem 23 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 24,HARD,Stack,Solve Practice Problem 24 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 25,EASY,Queue,Solve Practice Problem 25 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 26,MEDIUM,Trees,Solve Practice Problem 26 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 27,HARD,Graphs,Solve Practice Problem 27 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
Practice Problem 28,EASY,Dynamic Programming,Solve Practice Problem 28 using efficient algorithms.,Read input from stdin.,Print the required answer.,"def solve():
    pass

if __name__=='__main__':
    solve()","function solve(input){
}
process.stdin.resume();"
